localidad	proteccion
isla_cerralvo	anp
el_portugues	np
bajo_seco_sur	np
el_cayo	np
las_animas	np
isla_san_diego	np
isla_santa_cruz	np
isla_san_mateo	np
isla_el_farallon	np
bajo_seco_norte	np
punta_pulpito	np
isla_san_idelfonso	np
isla_san_marcos	np
isla_tortuga	np
isla_san_pedro_nolasco	np
isla_san_pedro_martir	anp
san_francisquito	np
isla_san_lorenzo	anp
isla_san_esteban	np
isla_tiburon	np
isla_patos	np
isla_angel_de_la_guarda	anp
bahia_san_luis_gonzaga	np
puerto_libertad	np
puerto_lobos	np
loreto	anp
espiritu_santo	anp
cabo_pulmo	anp
los_cabos	anp
isabel	anp
islas_marias	anp
revillagigedo	anp
manzanillo	np
caleta_de_campos	np
ixtapa	np
acapulco	np
huatulco-pa	anp